지역,종별,의료기관명,수
남구 임암동,의원,추의원,1
남구 임암동,의원,아이원소아청소년과의원,1
남구 지석동,의원,대촌하나의원,1
남구 방림동,의원,광주미래의원,1
남구 임암동,의원,다니엘의원,1
남구 임암동,의원,굿모닝소아청소년과의원,1
남구 봉선동,의원,로이엘이비인후과의원,1
남구 봉선동,의원,광주에스마취통증의학과의원,1
남구 봉선동,의원,김완혈심내과의원,1
남구 진월동,의원,희망정신건강의학과의원,1
남구 방림동,의원,홍상훈신경과의원,1
남구 주월동,의원,서울성모마취통증의학과의원,1
남구 월산동,의원,위대한내과의원,1
남구 행암동,의원,효천내과의원,1
남구 진월동,의원,이금수내과의원,1
남구 봉선동,의원,오라클피부과의원,1
남구 봉선동,의원,문신경외과의원,1
남구 봉선동,의원,더드림안과의원,1
남구 봉선동,의원,더편한내과의원,1
남구 봉선동,의원,봉선드림소아청소년과의원,1
남구 진월동,의원,압구정에이블의원,1
남구 봉선동,의원,맑은동안의원,1
남구 봉선동,의원,장이편한내과의원,1
남구 봉선동,의원,하이소아청소년과의원,1
남구 주월동,의원,달려라정형외과의원,1
남구 봉선동,의원,은석마취통증의학과의원,1
남구 월산동,의원,마음편한정신건강의학과의원,1
남구 봉선동,의원,마음나눔 정신건강의학과의원,1
남구 월산동,의원,베스트비뇨기과의원,1
남구 월산동,의원,베스트안과의원,1
남구 봉선동,의원,그린여성의원,1
남구 진월동,의원,신세계웰빙의원,1
남구 봉선동,의원,더힐이비인후과의원,1
남구 진월동,의원,물빛피부과의원,1
남구 월산동,의원,우리정신건강의학과의원,1
남구 진월동,의원,아이나래정신건강의학과의원,1
남구 양림동,의원,양림의원,1
남구 백운동,의원,비타민가정의학과의원,1
남구 진월동,의원,호두정형외과의원,1
남구 행암동,의원,리리의원,1
남구 봉선동,의원,튼튼정형외과의원,1
남구 봉선동,의원,플로리다의원,1
남구 주월동,의원,주노필의원,1
남구 월산동,의원,알파마취통증의학과의원,1
남구 백운동,의원,늘편안의원,1
남구 방림동,의원,휴가정의학과의원,1
남구 진월동,의원,예스마취통증의학과의원,1
남구 월산동,의원,BMF의원,1
남구 봉선동,의원,숨편한이비인후과의원,1
남구 진월동,의원,힐링연합의원,1
남구 봉선동,의원,김영조피부과의원,1
남구 진월동,의원,아이안과의원,1
남구 진월동,의원,러브미여성의원,1
남구 진월동,의원,상쾌한이비인후과의원,1
남구 진월동,의원,박래영재활의학과의원,1
남구 노대동,의원,솔가정의학과의원,1
남구 방림동,의원,삼성연합의원,1
남구 봉선동,의원,조은안과의원,1
남구 진월동,의원,친절한신경외과의원,1
남구 노대동,의원,진월연합소아청소년과의원,1
남구 노대동,의원,탑가정의학과의원,1
남구 지석동,의원,대촌서암의원,1
남구 봉선동,의원,드림이비인후과의원,1
남구 봉선동,의원,메디플라워비뇨기과의원,1
남구 진월동,의원,조민석내과의원,1
남구 봉선동,의원,아름다운피부과의원,1
남구 진월동,의원,진아름다운피부과의원,1
남구 진월동,의원,테라필의원,1
남구 월산동,의원,삼성정맥마취통증의학과의원,1
